"wy","site","ts.fdd","ts.tdd","ts.mean","ts.obs","ta.fdd","ta.tdd","ta.mean","ta.obs","nf","ta.tdd1","ts.tdd1","t5","max","mean","med"
2016,"MDF2",-1176.43958333333,541.001906028369,-1.73616851722668,0,-5051.57708333333,1458.55913120567,-9.81698894023951,0,0.232885604619349,1256.98333333333,436.608801020408,711,719,543.497835497835,579
2017,"DAVY",-1004.52291666667,363.039583333333,-1.75748858447489,0,-4022.42083333333,1233.96786347518,-7.63959717769358,0,0.249730935247327,1418.40678191489,409.853014184397,719,759,495.328767123288,579
2017,"HDF1",-727.009308510638,248.570833333333,-1.31079034295152,0,-3824.225,1234.57681737589,-7.0949265277373,0,0.19010631134691,1408.09248188406,267.490670289855,719,759,495.328767123288,579
2017,"LBR",-348.066666666667,231.533333333333,-0.319269406392694,0,-3774.28958333333,1249.92446808511,-6.91606880889925,0,0.0922204454591068,1423.32646276596,194.139317375887,719,759,495.328767123288,579
2017,"LDF2",-56.43125,648.026418439716,1.62080868065676,0,-3712.47083333333,1268.03927304965,-6.69707276790052,0,0.0152004561203062,1444.59397163121,691.999689716312,719,759,495.328767123288,579
2017,"MDF1",-432.06875,456.395833333333,0.0666495433789954,0,-3794.92083333333,1231.45833333333,-7.02318493150685,0,0.113854483130412,1410.98665780142,495.53710106383,719,759,495.328767123288,579
2017,"MDF2",-687.816666666667,492.730186170213,-0.534483508209463,0,-3854.55,1283.85350177305,-7.04300410473137,0,0.178442792716832,1458.55913120567,541.001906028369,719,759,495.328767123288,579
2018,"DAVY",-6.27306216931217,321.13125,1.66591633772851,176,-1105.64232563733,1156.69503205128,0.270120139756383,176,0.00567368128358887,1233.96786347518,363.039583333333,851.5,930,598.491452991453,691
2018,"HDF1",-822.029166666667,233.3175,-1.68203333333333,15,-4140.51875,1014.24236111111,-8.93221825396825,15,0.198532893171095,1234.57681737589,248.570833333333,851.5,930,598.491452991453,691
2018,"LBR",-246.183333333333,226.179166666667,-0.0548059360730594,0,-4072.69583333333,1270.36041666667,-7.67763127853881,0,0.0604472672175576,1249.92446808511,231.533333333333,851.5,930,598.491452991453,691
2018,"LDF2",-33.4337009803922,582.708901515152,2.2059245001396,116,-2810.68884803922,925.647727272727,-7.57044626813851,116,0.0118951982193675,1268.03927304965,648.026418439716,851.5,930,598.491452991453,691
2018,"MDF1",-104.192613636364,364.765,1.06791961624441,121,-2908.27026515152,890.679583333333,-8.26881426974665,121,0.0358263174110249,1231.45833333333,456.395833333333,851.5,930,598.491452991453,691
2018,"MDF2",-756.1125,418.104828431373,-0.965736204481793,15,-4164.15625,1052.97232843137,-8.88909691876751,15,0.181576399780868,1283.85350177305,492.730186170213,851.5,930,598.491452991453,691
2019,"DAVY",-1813.84166666667,202.17773245614,-4.83983163426584,32,-5091.64166666667,667.649780701754,-15.7437433664232,84,0.356239065003593,1156.69503205128,321.13125,470,480,297.976525821596,320
2019,"HDF1",-1604.93541666667,44.072619047619,-5.55467187764786,84,-4880.05416666667,659.00119047619,-15.0215408405355,84,0.328876557893398,1014.24236111111,233.3175,470,480,297.976525821596,320
2019,"LBR",-1198.81875,179.528170289855,-2.79257693071273,0,-4788.75,669.939393939394,-14.6576889895395,84,0.250340642129992,1270.36041666667,226.179166666667,470,480,297.976525821596,320
